season,players,games,minutes,points,rebds.,assists,steals,blocks
1986-87,1,24,240.0,35.4,47.2,15.7,11.8,0.0
2001-02,1,82,240.0,115.1,58.2,17.7,3.3,13.7
2002-03,1,82,240.0,126.7,58.7,18.7,2.7,12.0
2003-04,2,160,240.0,115.8,45.0,29.1,6.6,8.0
2004-05,2,87,240.0,113.3,42.4,31.5,6.9,8.9
2005-06,2,144,240.0,99.6,42.7,35.0,5.0,7.7
2006-07,4,270,240.0,101.5,43.3,33.1,7.3,5.8
2007-08,5,375,240.0,111.3,44.1,29.5,5.0,6.1
2008-09,5,389,240.0,98.3,40.6,33.1,6.9,4.0
2009-10,6,469,240.0,98.2,43.9,29.7,7.5,6.6
2010-11,5,391,240.0,94.0,48.0,28.0,6.7,9.6
2011-12,6,321,240.0,88.5,45.1,33.1,7.7,9.2
2012-13,6,461,240.0,91.1,38.5,38.6,7.4,6.6
2013-14,6,384,240.0,99.6,48.5,31.1,7.5,8.2
2014-15,7,379,240.0,103.7,54.3,28.0,6.2,8.5
2015-16,6,416,240.0,99.2,49.9,30.3,7.9,8.0
2016-17,10,793,240.0,101.7,47.7,25.4,6.3,6.6
2017-18,8,60,240.0,104.4,46.3,21.4,6.8,7.4
